iso3,country_name,income_group
ABW,Aruba,High income
AFG,Afghanistan,Low income
AGO,Angola,Lower middle income
ALB,Albania,Upper middle income
AND,Andorra,High income
ARE,United Arab Emirates,High income
ARG,Argentina,Upper middle income
ARM,Armenia,Upper middle income
ASM,American Samoa,High income
ATG,Antigua and Barbuda,High income
AUS,Australia,High income
AUT,Austria,High income
AZE,Azerbaijan,Upper middle income
BDI,Burundi,Low income
BEL,Belgium,High income
BEN,Benin,Lower middle income
BFA,Burkina Faso,Low income
BGD,Bangladesh,Lower middle income
BGR,Bulgaria,High income
BHR,Bahrain,High income
BHS,"Bahamas, The",High income
BIH,Bosnia and Herzegovina,Upper middle income
BLR,Belarus,Upper middle income
BLZ,Belize,Upper middle income
BMU,Bermuda,High income
BOL,Bolivia,Lower middle income
BRA,Brazil,Upper middle income
BRB,Barbados,High income
BRN,Brunei Darussalam,High income
BTN,Bhutan,Lower middle income
BWA,Botswana,Upper middle income
CAF,Central African Republic,Low income
CAN,Canada,High income
CHE,Switzerland,High income
CHI,Channel Islands,High income
CHL,Chile,High income
CHN,China,Upper middle income
CIV,Cote d'Ivoire,Lower middle income
CMR,Cameroon,Lower middle income
COD,"Congo, Dem. Rep.",Low income
COG,"Congo, Rep.",Lower middle income
COL,Colombia,Upper middle income
COM,Comoros,Lower middle income
CPV,Cabo Verde,Upper middle income
CRI,Costa Rica,High income
CUB,Cuba,Upper middle income
CUW,Curacao,High income
CYM,Cayman Islands,High income
CYP,Cyprus,High income
CZE,Czechia,High income
DEU,Germany,High income
DJI,Djibouti,Lower middle income
DMA,Dominica,Upper middle income
DNK,Denmark,High income
DOM,Dominican Republic,Upper middle income
DZA,Algeria,Upper middle income
ECU,Ecuador,Upper middle income
EGY,"Egypt, Arab Rep.",Lower middle income
ERI,Eritrea,Low income
ESP,Spain,High income
EST,Estonia,High income
ETH,Ethiopia,Not classified
FIN,Finland,High income
FJI,Fiji,Upper middle income
FRA,France,High income
FRO,Faroe Islands,High income
FSM,"Micronesia, Fed. Sts.",Lower middle income
GAB,Gabon,Upper middle income
GBR,United Kingdom,High income
GEO,Georgia,Upper middle income
GHA,Ghana,Lower middle income
GIB,Gibraltar,High income
GIN,Guinea,Lower middle income
GMB,"Gambia, The",Low income
GNB,Guinea-Bissau,Low income
GNQ,Equatorial Guinea,Upper middle income
GRC,Greece,High income
GRD,Grenada,Upper middle income
GRL,Greenland,High income
GTM,Guatemala,Upper middle income
GUM,Guam,High income
GUY,Guyana,High income
HKG,"Hong Kong SAR, China",High income
HND,Honduras,Lower middle income
HRV,Croatia,High income
HTI,Haiti,Lower middle income
HUN,Hungary,High income
IDN,Indonesia,Upper middle income
IMN,Isle of Man,High income
IND,India,Lower middle income
IRL,Ireland,High income
IRN,"Iran, Islamic Rep.",Upper middle income
IRQ,Iraq,Upper middle income
ISL,Iceland,High income
ISR,Israel,High income
ITA,Italy,High income
JAM,Jamaica,Upper middle income
JOR,Jordan,Lower middle income
JPN,Japan,High income
KAZ,Kazakhstan,Upper middle income
KEN,Kenya,Lower middle income
KGZ,Kyrgyz Republic,Lower middle income
KHM,Cambodia,Lower middle income
KIR,Kiribati,Lower middle income
KNA,St. Kitts and Nevis,High income
KOR,"Korea, Rep.",High income
KWT,Kuwait,High income
LAO,Lao PDR,Lower middle income
LBN,Lebanon,Lower middle income
LBR,Liberia,Low income
LBY,Libya,Upper middle income
LCA,St. Lucia,Upper middle income
LIE,Liechtenstein,High income
LKA,Sri Lanka,Lower middle income
LSO,Lesotho,Lower middle income
LTU,Lithuania,High income
LUX,Luxembourg,High income
LVA,Latvia,High income
MAC,"Macao SAR, China",High income
MAF,St. Martin (French part),High income
MAR,Morocco,Lower middle income
MCO,Monaco,High income
MDA,Moldova,Upper middle income
MDG,Madagascar,Low income
